"dialog_id","turn_id","context","target"
"1_00000","11","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|user|>Can you give me the phone number that I can contact them with?<|system|>If you want to phone them you can at 408-971-8523.<|user|>Is there some other restaurant which you can suggest?<|system|>How would you like Bazille restaurant which is situated in San Jose.<|user|>Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.<|system|>I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.<|user|>Alright, that seems good. I would like to make a booking at this restaurant.<|system|>For which time do you want the booking to be?<|user|>I will be eating there at 11:30 am so make it for then.<|system|>Can you please confirm that you want to book a table for 2 at 11:30 am at the Bird Dog restaurant in Palo Alto for today.<|user|>That suits me well. Can you tell me if they feature live music?<|system|>Your booking has been made without errors, but unfortunately they do not have live music.<|beginlastuserutterance|>Will I be able to find liquor there? Can you give me the address of their location?<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginrequestedslots|>Restaurants^serves_alcohol|Restaurants^street_address<|endrequestedslots|><|beginbelief|>Restaurants^city->Palo Alto|Restaurants^cuisine->American|Restaurants^date->today|Restaurants^party_size->2|Restaurants^price_range->moderate|Restaurants^restaurant_name->Bird Dog|Restaurants^time->11:30 am<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>REQUEST->Restaurants^serves_alcohol~|REQUEST->Restaurants^street_address~<|enduseraction|><|beginaction|>INFORM->Restaurants^street_address~420 Ramona Street|INFORM->Restaurants^serves_alcohol~False<|endaction|><|beginresponse|>The restaurant is located at 420 Ramona Street. Unfortunately they do not serve alcohol at the restaurant.<|endresponse|><|endtarget|>"
"1_00000","12","<|begincontext|><|user|>I am feeling hungry so I would like to find a place to eat.<|system|>Do you have a specific which you want the eating place to be located at?<|user|>I would like for it to be in San Jose.<|system|>Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?<|user|>I usually like eating the American type of food.<|system|>I see that at 71 Saint Peter there is a good restaurant which is in San Jose.<|user|>Can you give me the address of this restaurant.<|system|>If you want to go to this restaurant you can find it at 71 North San Pedro Street.<|user|>Can you give me the phone number that I can contact them with?<|system|>If you want to phone them you can at 408-971-8523.<|user|>Is there some other restaurant which you can suggest?<|system|>How would you like Bazille restaurant which is situated in San Jose.<|user|>Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.<|system|>I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.<|user|>Alright, that seems good. I would like to make a booking at this restaurant.<|system|>For which time do you want the booking to be?<|user|>I will be eating there at 11:30 am so make it for then.<|system|>Can you please confirm that you want to book a table for 2 at 11:30 am at the Bird Dog restaurant in Palo Alto for today.<|user|>That suits me well. Can you tell me if they feature live music?<|system|>Your booking has been made without errors, but unfortunately they do not have live music.<|user|>Will I be able to find liquor there? Can you give me the address of their location?<|system|>The restaurant is located at 420 Ramona Street. Unfortunately they do not serve alcohol at the restaurant.<|beginlastuserutterance|>I appreciate it very much. That would be all.<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginbelief|>Restaurants^city->Palo Alto|Restaurants^cuisine->American|Restaurants^date->today|Restaurants^party_size->2|Restaurants^price_range->moderate|Restaurants^restaurant_name->Bird Dog|Restaurants^time->11:30 am<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>THANK_YOU->Restaurants^~|GOODBYE->Restaurants^~<|enduseraction|><|beginaction|>GOODBYE->Restaurants^~<|endaction|><|beginresponse|>Have a good time!<|endresponse|><|endtarget|>"
"1_00001","1","<|begincontext|><|beginlastuserutterance|>Hi i need a help, i am very hungry, I am looking for a restaurant<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|><|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM_INTENT->Restaurants^intent~FindRestaurants<|enduseraction|><|beginaction|>REQUEST->Restaurants^cuisine~|REQUEST->Restaurants^city~<|endaction|><|beginresponse|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|endresponse|><|endtarget|>"
"1_00001","2","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|beginlastuserutterance|>Some Punjabi kind of foods in milpitas<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->milpitas|Restaurants^cuisine->Punjabi<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^cuisine~Punjabi|INFORM->Restaurants^city~milpitas<|enduseraction|><|beginaction|>OFFER->Restaurants^restaurant_name~Anjappar Chettinad Restaurant|OFFER->Restaurants^city~Milpitas<|endaction|><|beginresponse|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|endresponse|><|endtarget|>"
"1_00001","3","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|beginlastuserutterance|>Ok, What is the address? How pricey are they?<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginrequestedslots|>Restaurants^price_range|Restaurants^street_address<|endrequestedslots|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Punjabi<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>REQUEST->Restaurants^price_range~|REQUEST->Restaurants^street_address~<|enduseraction|><|beginaction|>INFORM->Restaurants^street_address~Milpitas Square|INFORM->Restaurants^price_range~moderate<|endaction|><|beginresponse|>Price range is moderate, The address is Milpitas Square<|endresponse|><|endtarget|>"
"1_00001","4","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|user|>Ok, What is the address? How pricey are they?<|system|>Price range is moderate, The address is Milpitas Square<|beginlastuserutterance|>Ok, Find me another restaurant?<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Punjabi<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>REQUEST_ALTS->Restaurants^~<|enduseraction|><|beginaction|>OFFER->Restaurants^restaurant_name~Aria Dining & Banquets Fine Indian Cuisine|OFFER->Restaurants^city~Milpitas<|endaction|><|beginresponse|>I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas<|endresponse|><|endtarget|>"
"1_00001","5","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|user|>Ok, What is the address? How pricey are they?<|system|>Price range is moderate, The address is Milpitas Square<|user|>Ok, Find me another restaurant?<|system|>I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas<|beginlastuserutterance|>No, suggest me another Restaurant, Some Take-out type of food will be perfect<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Take-out<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^cuisine~Take-out|REQUEST_ALTS->Restaurants^~<|enduseraction|><|beginaction|>OFFER->Restaurants^restaurant_name~Olive garden Italian Restaurant|OFFER->Restaurants^city~Milpitas|INFORM_COUNT->Restaurants^count~2<|endaction|><|beginresponse|>I found 2 Restaurants, Olive garden Italian Restaurant at Milpitas<|endresponse|><|endtarget|>"
"1_00001","6","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|user|>Ok, What is the address? How pricey are they?<|system|>Price range is moderate, The address is Milpitas Square<|user|>Ok, Find me another restaurant?<|system|>I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas<|user|>No, suggest me another Restaurant, Some Take-out type of food will be perfect<|system|>I found 2 Restaurants, Olive garden Italian Restaurant at Milpitas<|beginlastuserutterance|>Yes, it seems good for me<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>FindRestaurants<|endintent|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Take-out|Restaurants^restaurant_name->Olive garden Italian Restaurant<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>SELECT->Restaurants^~<|enduseraction|><|beginaction|>OFFER_INTENT->Restaurants^intent~ReserveRestaurant<|endaction|><|beginresponse|>shall i reserve a table here for you?<|endresponse|><|endtarget|>"
"1_00001","7","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|user|>Ok, What is the address? How pricey are they?<|system|>Price range is moderate, The address is Milpitas Square<|user|>Ok, Find me another restaurant?<|system|>I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas<|user|>No, suggest me another Restaurant, Some Take-out type of food will be perfect<|system|>I found 2 Restaurants, Olive garden Italian Restaurant at Milpitas<|user|>Yes, it seems good for me<|system|>shall i reserve a table here for you?<|beginlastuserutterance|>Yes, I want it on the 11th<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Take-out|Restaurants^date->the 11th|Restaurants^restaurant_name->Olive garden Italian Restaurant<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>AFFIRM_INTENT->Restaurants^~|INFORM->Restaurants^date~the 11th<|enduseraction|><|beginaction|>REQUEST->Restaurants^time~<|endaction|><|beginresponse|>please tell me what time is the reservation for?<|endresponse|><|endtarget|>"
"1_00001","8","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|user|>Ok, What is the address? How pricey are they?<|system|>Price range is moderate, The address is Milpitas Square<|user|>Ok, Find me another restaurant?<|system|>I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas<|user|>No, suggest me another Restaurant, Some Take-out type of food will be perfect<|system|>I found 2 Restaurants, Olive garden Italian Restaurant at Milpitas<|user|>Yes, it seems good for me<|system|>shall i reserve a table here for you?<|user|>Yes, I want it on the 11th<|system|>please tell me what time is the reservation for?<|beginlastuserutterance|>at afternoon 1:30<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Take-out|Restaurants^date->the 11th|Restaurants^restaurant_name->Olive garden Italian Restaurant|Restaurants^time->afternoon 1:30<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^time~afternoon 1:30<|enduseraction|><|beginaction|>CONFIRM->Restaurants^restaurant_name~Olive Garden Italian Restaurant|CONFIRM->Restaurants^city~Milpitas|CONFIRM->Restaurants^time~1:30 pm|CONFIRM->Restaurants^date~March 11th|CONFIRM->Restaurants^party_size~2<|endaction|><|beginresponse|>Please confirm the following details: Booking a table at Olive Garden Italian Restaurant at Milpitas on March 11th reservation time is 1:30 pm, The reservation is for 2 people<|endresponse|><|endtarget|>"
"1_00001","9","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|user|>Ok, What is the address? How pricey are they?<|system|>Price range is moderate, The address is Milpitas Square<|user|>Ok, Find me another restaurant?<|system|>I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas<|user|>No, suggest me another Restaurant, Some Take-out type of food will be perfect<|system|>I found 2 Restaurants, Olive garden Italian Restaurant at Milpitas<|user|>Yes, it seems good for me<|system|>shall i reserve a table here for you?<|user|>Yes, I want it on the 11th<|system|>please tell me what time is the reservation for?<|user|>at afternoon 1:30<|system|>Please confirm the following details: Booking a table at Olive Garden Italian Restaurant at Milpitas on March 11th reservation time is 1:30 pm, The reservation is for 2 people<|beginlastuserutterance|>No, time change to twelve in the afternoon for one people<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Take-out|Restaurants^date->March 11th~the 11th|Restaurants^party_size->1|Restaurants^restaurant_name->Olive Garden Italian Restaurant~Olive garden Italian Restaurant|Restaurants^time->twelve in the afternoon<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>INFORM->Restaurants^time~twelve in the afternoon|INFORM->Restaurants^party_size~1|NEGATE->Restaurants^~<|enduseraction|><|beginaction|>CONFIRM->Restaurants^time~12 pm|CONFIRM->Restaurants^party_size~1<|endaction|><|beginresponse|>Please confirm the following details: the reservation time is 12 pm, The reservation is for 1 people<|endresponse|><|endtarget|>"
"1_00001","10","<|begincontext|><|user|>Hi i need a help, i am very hungry, I am looking for a restaurant<|system|>Sure, I will help you, What type of food are you looking for? Which city should i search in?<|user|>Some Punjabi kind of foods in milpitas<|system|>I found a good restaurant in Milpitas, The restaurant name is Anjappar Chettinad Restaurant<|user|>Ok, What is the address? How pricey are they?<|system|>Price range is moderate, The address is Milpitas Square<|user|>Ok, Find me another restaurant?<|system|>I found another restaurant for you, Aria Dining & Banquets Fine Indian Cuisine Restaurant at Milpitas<|user|>No, suggest me another Restaurant, Some Take-out type of food will be perfect<|system|>I found 2 Restaurants, Olive garden Italian Restaurant at Milpitas<|user|>Yes, it seems good for me<|system|>shall i reserve a table here for you?<|user|>Yes, I want it on the 11th<|system|>please tell me what time is the reservation for?<|user|>at afternoon 1:30<|system|>Please confirm the following details: Booking a table at Olive Garden Italian Restaurant at Milpitas on March 11th reservation time is 1:30 pm, The reservation is for 2 people<|user|>No, time change to twelve in the afternoon for one people<|system|>Please confirm the following details: the reservation time is 12 pm, The reservation is for 1 people<|beginlastuserutterance|>Yes<|endlastuserutterance|><|endcontext|>","<|begintarget|><|begindsts|><|begindst|><|beginintent|>ReserveRestaurant<|endintent|><|beginbelief|>Restaurants^city->Milpitas~milpitas|Restaurants^cuisine->Take-out|Restaurants^date->March 11th~the 11th|Restaurants^party_size->1|Restaurants^restaurant_name->Olive Garden Italian Restaurant~Olive garden Italian Restaurant|Restaurants^time->12 pm~twelve in the afternoon<|endbelief|><|enddst|><|enddsts|><|beginuseraction|>AFFIRM->Restaurants^~<|enduseraction|><|beginaction|>NOTIFY_SUCCESS->Restaurants^~<|endaction|><|beginresponse|>Congrats, your reservation is confirmed<|endresponse|><|endtarget|>"
